job_category,skills,field_of_study
Hospitality & Tourism Executive,attention to detail | Check In | Check Out | Clinical Procedures | Communication | Counselling | Critical Thinking | Customer Service | Emergency Response | Event Coordination | Food and Beverage | Front Office | Infection Control | leadership | Leadership | Medical Terminology | medication administration | Medication Administration | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | project coordination | Reservation | teamwork | Teamwork | Time Management | wound care,Hospitality & Tourism
Cybersecurity Analyst,Access Control | adaptability | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | Customer Service | Firewalls | leadership | Leadership | Malware Analysis | Microsoft PowerPoint | microsoft word | Microsoft Word | multitasking | Network Security | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | SIEM | teamwork | Teamwork | Time Management,Information Technology
Mechanical Engineer,3D Modelling | adaptability | autocad | AutoCAD | communication skills | customer service | Customer Service | Electrical Design | hvac design | Leadership | Maintenance | manufacturing processes | microsoft powerpoint | multitasking | plc programming | Problem Solving | Project Coordination | project coordination | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | teamwork | Teamwork | Technical Documentation | Technical Drawing | Troubleshooting,Mechanical Engineering
Software Engineer,API Integration | C++ | cloud deployment | Code Review | customer service | Debugging | Design Patterns | Git | Java | Microservices | NoSQL | nosql | Object Oriented Programming | OOP | Python | REST API | spring boot | Teamwork | Unit Testing | version control,Business Information Systems
Civil Engineer,3d modelling | analytical thinking | AutoCAD | Bill of Quantities | communication skills | Concrete | Construction Management | Health and Safety | leadership | Mechanical Design | microsoft word | Microsoft Word | multitasking | PLC | preventive maintenance | Project Coordination | Project Management | Quality Control | quality control | safety compliance | simulation software | solidworks | SolidWorks | Structural Design | Teamwork | Tendering | time management,Civil Engineering
Mechanical Engineer,adaptability | analytical thinking | attention to detail | AutoCAD | Communication | critical thinking | Electrical Design | hvac design | Maintenance | manufacturing processes | Mechanical Design | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | plc programming | presentation skills | preventive maintenance | Project Coordination | Project Management | project management | Quality Control | quality control | Root Cause Analysis | Simulation | simulation software | solidworks | SolidWorks | Technical Drawing | time management,Mechatronics
Electrical Engineer,3D Modelling | AutoCAD | Circuit Design | Commissioning | Communication | Control Systems | Critical Thinking | Leadership | Maintenance | Microsoft PowerPoint | PLC | Presentation Skills | Preventive Maintenance | Problem Solving | Project Management | Quality Control | Simulation | SolidWorks | Teamwork | Technical Documentation | Testing | Time Management,Mechatronics
Mobile App Developer,Agile | App Store Deployment | C# | Code Review | Customer Service | Design Patterns | Express.js | Flutter | Git | JavaScript | Kubernetes | Microsoft PowerPoint | Mobile Testing | MVVM | Play Store Deployment | PostgreSQL | Presentation Skills | Project Coordination | React | Scrum | Teamwork | TypeScript | Unit Testing | Xcode,Information Technology
Electrical Engineer,3D Modelling | AutoCAD Electrical | Critical Thinking | customer service | Electrical Design | electrical design | leadership | Maintenance | microsoft powerpoint | PLC | Power Systems | Preventive Maintenance | Problem Solving | Quality Control | root cause analysis | Simulation | Troubleshooting | Wiring Diagram,Mechatronics
HR Specialist,compensation and benefits | Conflict Resolution | conflict resolution | customer service | Employee Engagement | Employee Relations | employee relations | exit interview | hr policies | HRIS | hris | Interviewing | Labour Law | Leadership | Microsoft PowerPoint | microsoft word | multitasking | onboarding | Onboarding | Performance Management | Project Coordination | Recruitment | recruitment | teamwork | Teamwork | time management | Time Management | Training & Development | training and development,Human Resource Management
